model,result,accuracy,precision,recall,geo mean,f1
SVM Linear,best,0.9813829787234043,0.9813829787234043,0.9813829787234043,0.9883397046433775,0.9813829787234043
SVM Linear,mean,0.9702335741522827,0.9702335741522827,0.9702335741522827,0.9813294144197787,0.9702335741522827
SVM Linear,std,0.003462200323346579,0.003462200323346579,0.003462200323346579,0.0021779254148922107,0.00346220032334658
SVM Quadratic,best,0.9796099290780141,0.9796099290780141,0.9796099290780141,0.9872265951115623,0.9796099290780141
SVM Quadratic,mean,0.9683857190160163,0.9683857190160163,0.9683857190160163,0.9801644854347421,0.9683857190160163
SVM Quadratic,std,0.003702843033153697,0.003702843033153697,0.003702843033153697,0.0023325319079268137,0.0037028430331536976
SVM Cubic,best,0.9827127659574468,0.9827127659574468,0.9827127659574468,0.9891742362000837,0.9827127659574468
SVM Cubic,mean,0.9730193686230703,0.9730193686230703,0.9730193686230703,0.9830796558813981,0.9730193686230703
SVM Cubic,std,0.0034636610763021216,0.0034636610763021216,0.0034636610763021216,0.0021804147139878613,0.0034636610763021216
KNN Fine,best,0.9973404255319149,0.9973404255319149,0.9973404255319149,0.9983372677852819,0.9973404255319149
KNN Fine,mean,0.9921670203731809,0.9921670203731809,0.9921670203731809,0.9950998036244836,0.9921670203731809
KNN Fine,std,0.0018670670365323085,0.0018670670365323085,0.0018670670365323085,0.0011690467393338426,0.0018670670365323085
KNN Medium,best,0.9898049645390071,0.9898049645390071,0.9898049645390071,0.9936207477507562,0.9898049645390071
KNN Medium,mean,0.981828379674582,0.981828379674582,0.981828379674582,0.9886186556392013,0.981828379674582
KNN Medium,std,0.0028635565095021707,0.0028635565095021707,0.0028635565095021707,0.0017972898068073669,0.0028635565095021707
KNN Cubic,best,0.9933510638297872,0.9933510638297872,0.9933510638297872,0.9958412935178391,0.9933510638297872
KNN Cubic,mean,0.9853570245995907,0.9853570245995907,0.9853570245995907,0.9908314197723233,0.9853570245995907
KNN Cubic,std,0.0024636533190790532,0.0024636533190790532,0.0024636533190790532,0.0015445224643966828,0.002463653319079054
Tree Fine,best,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9977828018118823,0.9964539007092199
Tree Fine,mean,0.9903178050085313,0.9903178050085313,0.9903178050085313,0.993940887899736,0.9903178050085313
Tree Fine,std,0.0020424794587393614,0.0020424794587393614,0.0020424794587393614,0.0012795952673143893,0.0020424794587393614
Tree Medium,best,0.975177304964539,0.975177304964539,0.975177304964539,0.9844418077026593,0.975177304964539
Tree Medium,mean,0.9531270833529728,0.9531270833529728,0.9531270833529728,0.9705373537384588,0.9531270833529728
Tree Medium,std,0.005648947016984534,0.005648947016984534,0.005648947016984534,0.003566963878834494,0.005648947016984532
